timestamp,iso_local,detector,event_code,event
1784504295.758,2026-07-19 17:38:15.757,36,81,off
1784504296.479,2026-07-19 17:38:16.479,2,81,off
1784504297.286,2026-07-19 17:38:17.286,35,82,on
1784504297.883,2026-07-19 17:38:17.882,2,82,on
1784504298.318,2026-07-19 17:38:18.318,17,81,off
1784504298.718,2026-07-19 17:38:18.717,35,81,off
1784504299.551,2026-07-19 17:38:19.550,2,81,off
1784504300.255,2026-07-19 17:38:20.255,34,82,on
1784504301.832,2026-07-19 17:38:21.831,34,81,off
1784504303.438,2026-07-19 17:38:23.437,34,82,on
1784504303.438,2026-07-19 17:38:23.437,35,82,on
1784504304.860,2026-07-19 17:38:24.859,34,81,off
1784504304.860,2026-07-19 17:38:24.859,35,81,off
1784504306.506,2026-07-19 17:38:26.506,33,81,off
1784504306.506,2026-07-19 17:38:26.506,34,82,on
1784504309.889,2026-07-19 17:38:29.889,33,82,on
1784504309.889,2026-07-19 17:38:29.889,34,81,off
1784504314.135,2026-07-19 17:38:34.135,19,82,on
1784504314.408,2026-07-19 17:38:34.408,33,81,off
1784504315.622,2026-07-19 17:38:35.621,19,81,off
1784504315.832,2026-07-19 17:38:35.832,26,81,off
1784504316.139,2026-07-19 17:38:36.139,46,82,on
1784504317.007,2026-07-19 17:38:37.007,17,82,on
1784504318.027,2026-07-19 17:38:38.027,2,82,on
1784504318.595,2026-07-19 17:38:38.594,36,82,on
1784504318.802,2026-07-19 17:38:38.801,46,81,off
1784504319.823,2026-07-19 17:38:39.823,17,81,off
1784504320.234,2026-07-19 17:38:40.234,36,81,off
1784504320.438,2026-07-19 17:38:40.438,46,82,on
1784504321.395,2026-07-19 17:38:41.395,17,82,on
1784504321.870,2026-07-19 17:38:41.869,46,81,off
1784504322.484,2026-07-19 17:38:42.483,2,81,off
1784504322.896,2026-07-19 17:38:42.896,17,81,off
1784504324.111,2026-07-19 17:38:44.110,2,82,on
1784504324.371,2026-07-19 17:38:44.370,17,82,on
1784504325.177,2026-07-19 17:38:45.176,2,81,off
1784504325.453,2026-07-19 17:38:45.453,17,81,off
1784504327.199,2026-07-19 17:38:47.199,26,82,on
1784504328.376,2026-07-19 17:38:48.375,26,81,off
1784504331.702,2026-07-19 17:38:51.702,46,82,on
1784504332.721,2026-07-19 17:38:52.721,17,82,on
1784504333.134,2026-07-19 17:38:53.134,36,82,on
1784504333.945,2026-07-19 17:38:53.945,2,82,on
1784504334.768,2026-07-19 17:38:54.768,36,81,off
1784504336.348,2026-07-19 17:38:56.348,47,82,on
1784504337.983,2026-07-19 17:38:57.983,7,81,off
1784504338.515,2026-07-19 17:38:58.514,34,82,on
1784504338.658,2026-07-19 17:38:58.658,47,81,off
1784504339.191,2026-07-19 17:38:59.190,7,82,on
1784504339.886,2026-07-19 17:38:59.886,34,81,off
1784504339.886,2026-07-19 17:38:59.886,36,82,on
1784504340.100,2026-07-19 17:39:00.100,48,82,on
1784504341.542,2026-07-19 17:39:01.542,36,81,off
1784504341.542,2026-07-19 17:39:01.542,40,82,on
1784504341.741,2026-07-19 17:39:01.740,41,81,off
1784504341.741,2026-07-19 17:39:01.740,42,82,on
1784504341.741,2026-07-19 17:39:01.740,47,82,on
1784504341.741,2026-07-19 17:39:01.740,48,81,off
1784504342.451,2026-07-19 17:39:02.451,7,81,off
1784504343.169,2026-07-19 17:39:03.169,35,82,on
1784504343.169,2026-07-19 17:39:03.169,40,81,off
1784504343.375,2026-07-19 17:39:03.375,41,82,on
1784504343.375,2026-07-19 17:39:03.375,47,81,off
1784504343.988,2026-07-19 17:39:03.987,7,82,on
1784504344.606,2026-07-19 17:39:04.606,30,81,off
1784504344.606,2026-07-19 17:39:04.606,31,82,on
1784504344.729,2026-07-19 17:39:04.729,40,82,on
1784504345.525,2026-07-19 17:39:05.525,8,82,on
1784504346.140,2026-07-19 17:39:06.140,26,82,on
1784504346.343,2026-07-19 17:39:06.343,33,82,on
1784504346.343,2026-07-19 17:39:06.343,35,81,off
