timestamp,timestamp_utc,camera_id,deleted_file,kept_file,deleted_start_ts,deleted_end_ts,kept_start_ts,kept_end_ts,deleted_duration_sec,bytes_reclaimed,log_rows_updated,tolerance_sec
1785699595.255793,2026-08-02 19:39:55 UTC,fisheye,821f62d3_fisheye_1785699301.ts,102a339d_fisheye_1785699267.ts,1785699291.461,1785699344.460,1785699260.623,1785699405.322,53.000,3550192,1,0.5
1785699595.255793,2026-08-02 19:39:55 UTC,fisheye,ff4ff619_fisheye_1785699348.ts,102a339d_fisheye_1785699267.ts,1785699341.218,1785699368.418,1785699260.623,1785699405.322,27.200,1965916,1,0.5
1785699595.255793,2026-08-02 19:39:55 UTC,fisheye,d95c73a9_fisheye_1785699368.ts,102a339d_fisheye_1785699267.ts,1785699359.655,1785699385.155,1785699260.623,1785699405.322,25.500,1924368,1,0.5
1785699595.255793,2026-08-02 19:39:55 UTC,fisheye,0ae37a06_fisheye_1785699433.ts,5b0ad8a9_fisheye_1785699409.ts,1785699427.979,1785699439.829,1785699403.174,1785699443.873,11.850,793172,1,0.5
1785700200.936584,2026-08-02 19:50:00 UTC,fisheye,2cc5eff2_fisheye_1785699776.ts,cfee1287_fisheye_1785699772.ts,1785699768.913,1785699792.963,1785699762.740,1785699843.489,24.050,1384620,1,0.5
1785700200.936584,2026-08-02 19:50:00 UTC,fisheye,c3acd35e_fisheye_1785699817.ts,cfee1287_fisheye_1785699772.ts,1785699806.163,1785699833.413,1785699762.740,1785699843.489,27.250,1921548,1,0.5
1785700200.936584,2026-08-02 19:50:00 UTC,fisheye,0421d90f_fisheye_1785699955.ts,592c1c1e_fisheye_1785699955.ts,1785699942.484,1785699971.084,1785699942.458,1785699971.308,28.600,1687676,1,0.5
1785700200.936584,2026-08-02 19:50:00 UTC,fisheye,5890244f_fisheye_1785699971.ts,e7a1d43a_fisheye_1785699973.ts,1785699961.253,1785699988.253,1785699961.201,1785699991.901,27.000,1532388,1,0.5
1785700503.850889,2026-08-02 19:55:03 UTC,fisheye,3d536fbb_fisheye_1785700198.ts,3849ef97_fisheye_1785700184.ts,1785700190.454,1785700214.804,1785700178.137,1785700293.736,24.350,1637292,1,0.5
1785700503.850889,2026-08-02 19:55:03 UTC,fisheye,b9cc4527_fisheye_1785700236.ts,3849ef97_fisheye_1785700184.ts,1785700227.819,1785700289.669,1785700178.137,1785700293.736,61.850,4048204,1,0.5
1785700503.850889,2026-08-02 19:55:03 UTC,fisheye,c82edf00_fisheye_1785700318.ts,15335e16_fisheye_1785700318.ts,1785700308.357,1785700326.206,1785700308.307,1785700334.357,17.850,1127248,1,0.5
1785700503.850889,2026-08-02 19:55:03 UTC,fisheye,7072e775_fisheye_1785700360.ts,bda3441f_fisheye_1785700354.ts,1785700351.842,1785700376.592,1785700345.545,1785700384.995,24.750,1563596,1,0.5
1785700806.953797,2026-08-02 20:00:06 UTC,fisheye,2462d988_fisheye_1785700620.ts,9e91a9c9_fisheye_1785700557.ts,1785700612.111,1785700639.211,1785700550.175,1785700675.074,27.100,1921924,1,0.5
1785701109.956695,2026-08-02 20:05:09 UTC,fisheye,2143a55a_fisheye_1785700697.ts,48a54cba_fisheye_1785700691.ts,1785700686.582,1785700713.682,1785700680.259,1785700863.759,27.100,1610784,1,0.5
1785701109.956695,2026-08-02 20:05:09 UTC,fisheye,6e6c66b3_fisheye_1785700719.ts,48a54cba_fisheye_1785700691.ts,1785700711.326,1785700739.526,1785700680.259,1785700863.759,28.200,1800664,1,0.5
