Local_Timestamp,Trigger_ID,Video_Filename,Rule_Type,Det_A,Det_B,Description
2026-07-31 20:10:35 MDT,630f30584889433abe923d096b7e66f5,630f3058_fisheye_1785550237.ts,rule1_continuous_disagreement,31,8,"detector '8' ON, detector '31' OFF for 5.041s (threshold=5.0s)"
2026-07-31 20:10:35 MDT,91e0b0c602ef48e597de817919d05740,91e0b0c6_fisheye_1785550237.ts,rule1_continuous_disagreement,8,42,"detector '8' ON, detector '42' OFF for 5.046s (threshold=5.0s)"
2026-07-31 20:10:54 MDT,6bc56bf4fa9d4f1285a75f2f82650e21,6bc56bf4_fisheye_1785550256.ts,rule1_continuous_disagreement,8,42,"detector '8' ON, detector '42' OFF for 5.042s (threshold=5.0s)"
2026-07-31 20:11:06 MDT,2589b917b75247b69a11cdc9274a0d3c,2589b917_fisheye_1785550266.ts,rule2_orphan_pulse,42,31,"orphan on detector '31': orphan pulse duration=0.708s window=[1785550255.468, 1785550266.175]"
2026-07-31 20:11:13 MDT,44b402c06a92466e901bc36d9c522061,44b402c0_fisheye_1785550274.ts,rule2_orphan_pulse,41,30,"orphan on detector '30': orphan pulse duration=3.349s window=[1785550260.212, 1785550273.561]"
2026-07-31 20:11:23 MDT,29b268b817b9494d93abdfa5daeea776,29b268b8_fisheye_1785550284.ts,rule2_orphan_pulse,7,38,"orphan on detector '7': orphan pulse duration=0.985s window=[1785550272.173, 1785550283.158]"
2026-07-31 20:11:33 MDT,579fdf80783746ca9949555a6f4a82a0,579fdf80_fisheye_1785550294.ts,rule2_orphan_pulse,33,26,"orphan on detector '26': orphan pulse duration=1.584s window=[1785550282.021, 1785550293.606]"
2026-07-31 20:12:56 MDT,df29234dc1ee493e8b4dfe811515ea34,df29234d_fisheye_1785550377.ts,rule2_orphan_pulse,42,31,"orphan on detector '42': orphan pulse duration=4.49s window=[1785550362.079, 1785550376.570]"
2026-07-31 20:12:56 MDT,19e382824aa247d29d2e91b08b5e82cd,19e38282_fisheye_1785550377.ts,rule2_orphan_pulse,8,42,"orphan on detector '42': orphan pulse duration=4.49s window=[1785550362.079, 1785550376.570]"
2026-07-31 20:13:23 MDT,7c00146ff2ef47deb5cc60c7affacdd8,7c00146f_fisheye_1785550404.ts,rule2_orphan_pulse,31,8,"orphan on detector '8': orphan pulse duration=1.293s window=[1785550392.382, 1785550403.675]"
2026-07-31 20:13:23 MDT,7cc0a8c319f14cae9c724a6f8a3996fb,7cc0a8c3_fisheye_1785550404.ts,rule2_orphan_pulse,8,42,"orphan on detector '8': orphan pulse duration=1.293s window=[1785550392.382, 1785550403.675]"
2026-07-31 20:15:02 MDT,ccc55d5f1b8c403ba1ef40014fbb6d63,ccc55d5f_fisheye_1785550503.ts,rule1_continuous_disagreement,43,29,"detector '43' ON, detector '29' OFF for 5.069s (threshold=5.0s)"
2026-07-31 20:15:15 MDT,5bec95548eb141328da6f905861bdfb4,5bec9554_fisheye_1785550515.ts,rule1_continuous_disagreement,41,30,"detector '30' ON, detector '41' OFF for 5.048s (threshold=5.0s)"
2026-07-31 20:15:17 MDT,ebceabde61c848e2ac9eb9d0739897e4,ebceabde_fisheye_1785550517.ts,rule1_continuous_disagreement,3,41,"detector '3' ON, detector '41' OFF for 5.043s (threshold=5.0s)"
2026-07-31 20:16:37 MDT,167a84772347489db3d297e18a7789be,167a8477_fisheye_1785550598.ts,rule2_orphan_pulse,43,29,"orphan on detector '29': orphan pulse duration=0.673s window=[1785550587.283, 1785550597.957]"
2026-07-31 20:16:43 MDT,fcb4df12c92f4482bb74e30a5afc9f41,fcb4df12_fisheye_1785550604.ts,rule2_orphan_pulse,43,29,"orphan on detector '29': orphan pulse duration=0.989s window=[1785550592.948, 1785550603.937]"
2026-07-31 20:17:24 MDT,189725a50e2c4e64a5778b9f0e5d5c2a,189725a5_fisheye_1785550645.ts,rule2_orphan_pulse,42,31,"orphan on detector '42': orphan pulse duration=0.664s window=[1785550634.033, 1785550644.697]"
2026-07-31 20:17:24 MDT,e5994447bbc244d78dba23b0f2008791,e5994447_fisheye_1785550645.ts,rule2_orphan_pulse,8,42,"orphan on detector '42': orphan pulse duration=0.664s window=[1785550634.033, 1785550644.697]"
2026-07-31 20:17:56 MDT,a5b67464fe984610b38d19f5b3a7d814,a5b67464_fisheye_1785550677.ts,rule1_continuous_disagreement,31,8,"detector '8' ON, detector '31' OFF for 5.042s (threshold=5.0s)"
2026-07-31 20:17:59 MDT,715cb1f023f04e578c05c56927a87c43,715cb1f0_fisheye_1785550679.ts,rule1_continuous_disagreement,39,22,"detector '39' ON, detector '22' OFF for 5.058s (threshold=5.0s)"
2026-07-31 20:25:41 MDT,d4079fe78a6b4e30b9316c44f4f29d7d,d4079fe7_fisheye_1785551141.ts,rule2_orphan_pulse,42,31,"orphan on detector '31': orphan pulse duration=2.492s window=[1785551128.742, 1785551141.234]"
2026-07-31 20:25:41 MDT,befa1be1a8534e478a9b1072fc1368ff,befa1be1_fisheye_1785551141.ts,rule2_orphan_pulse,8,42,"orphan on detector '8': orphan pulse duration=4.045s window=[1785551127.189, 1785551141.234]"
2026-07-31 20:26:23 MDT,b4c71e5d159242c684fcf69100ee9444,b4c71e5d_fisheye_1785551184.ts,rule1_continuous_disagreement,41,30,"detector '41' ON, detector '30' OFF for 5.052s (threshold=5.0s)"
2026-07-31 20:26:25 MDT,03b08ceb516f4dcfbf6582906beb5578,03b08ceb_fisheye_1785551186.ts,rule1_continuous_disagreement,3,41,"detector '41' ON, detector '3' OFF for 5.056s (threshold=5.0s)"
2026-07-31 20:26:49 MDT,4a800678f61b45f7badacc7bb4a11478,4a800678_fisheye_1785551210.ts,rule2_orphan_pulse,3,41,"orphan on detector '41': orphan pulse duration=1.592s window=[1785551197.501, 1785551209.092]"
